Umfang	ALS	ULS	TLS	Höhe Krone	ALS	ULS	TLS	Höhe Baum	ALS	ULS	TLS	Krone Durchmesser	ALS	ULS	TLS
47.5		28.856287		10.6		4.2000003						11.1		9.807647	
47.5		28.580845		10.6		9.8						11.1		8.316076	
42.7	50			1	2.1000001							9.6	8.906603		
42.7		15.256545		1		2.3						9.6		9.160284	
42.7		62.838333		1		1.4						9.6		8.95758	
42.7		31.530779		1		1.6						9.6		8.193392	
43.3	50			0	2.3							10.8	8.098146		
43.3		14.146364		0		3.3						10.8		8.273178	
43.3		30.443716		0		3.8						10.8		8.051673	
43.3		21.40737		0		1.5						10.8		7.32899	
51.7	50			7.1	1.5							9.9	9.522688		
51.7		52.79227		7.1		1.4						9.9		9.71484	
51.7		21.39886		7.1		1.4						9.9		9.571315	
51.7		33.273582		7.1		1.5						9.9		9.041798	
29.3	50			1.2	2.9							14.1	8.94514		
29.3		50		1.2		1.5						14.1		9.410925	
29.3		62.942535		1.2		1.5						14.1		9.03608	
29.3		32.07088		1.2		2.4						14.1		8.125755	
31	50			1.1	1.8000001							8.9	8.040843		
31		25.811663		1.1		1.5						8.9		8.36128	
31		34.95433		1.1		1.4						8.9		8.237444	
31		45.73034		1.1		1.4						8.9		6.7695932	
47.9	50			5.5	4.8							11.1	9.022907		
47.9		41.816204		5.5		5.1						11.1		9.097749	
47.9		32.661316		5.5		3.2						11.1		9.060031	
47.9		37.153805		5.5		4						11.1		8.146997	
39	50			11.9	10.8							10.7	9.866686		
39		50		11.9		7.5						10.7		9.39802	
39		33.79548		11.9		9.400001						10.7		9.214543	
39		21.144802		11.9		10.2						10.7		8.306855	
37.7	46.24776			2.2	1.4							12.7	10.385459		
37.7		81.819496		2.2		1.4						12.7		10.445441	
37.7		24.502928		2.2		1.4						12.7		10.293503	
37.7		20.982729		2.2		1.5						12.7		8.961373	
41.9	39.14316			2.1	4.9							12.7	11.118845		
41.9		17.912897		2.1		1.5						12.7		11.359294	
41.9		21.35161		2.1		1.4						12.7		11.31059	
41.9		31.84466		2.1		1.5						12.7		9.890507	
51	50			2.5	1.9							10.5	9.173353		
51		50		2.5		1.6						10.5		9.580755	
51		30.098238		2.5		1.4						10.5		9.601486	
51		35.85019		2.5		1.6						10.5		8.662106	
6.4	50			5.5	8.1							4.2	3.6374197		
6.4		50		5.5		7.4						4.2		3.4726768	
6.4		29.023806		5.5		4.2000003						4.2		3.4588966	
6.4		50		5.5		9.900001						4.2		2.257873	
7.8	23.303198			0.9	4.3							4.8	3.9585094		
7.8		35.438026		0.9		3.9						4.8		3.7771852	
7.8		114.155045		0.9		3.5						4.8		3.4131086	
7.8		65.77828		0.9		5.7000003						4.8		2.5304096	
36.9	50			1	2.4							10	8.369082		
36.9		50		1		1.5						10		8.252252	
36.9		45.940777		1		1.5						10		8.030419	
36.9		20.410126		1		1.8000001						10		6.9601316	
